price_£,proprety type,surface,bedroom,bathroom,address,city,principale
1748319.0,House,560.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
499520.0,House,550.0,4,5,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1098943.0,House,440.0,6,6,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
469549.0,House,250.0,3,4,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
659366.0,House,250.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
499520.0,House,365.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
309702.0,House,4565.0,3,2,"Sidi Abdallah Ghiat, Sidi Abdallah Ghiat, Marrakesh-Tensift-El Haouz",Sidi Abdallah Ghiat,Marrakesh-Tensift-El Haouz
3043598.0,House,796.0,7,7,"El Jadida, Casablanca-Settat 24000",Casablanca,
599424.0,House,380.0,4,4,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
829203.0,House,1200.0,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
499520.0,House,380.0,4,4,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1998079.0,House,600.0,8,11,"Ménara, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
229779.0,House,3928.83,3,1,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
569453.0,House,390.0,5,4,"Agdal, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
399129.0,House,234.0,4,4,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
349664.0,House,270.0,4,4,"Route de Ouarzazate, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
